lesion_id,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC,label,source_lesion_id,pair_metadata_complete,existing_image_files,pair_files_complete,qc_available,target_probability,is_target_predicted,qc_pass,usable,selected_inventory,selected_usable,selection_reason
IL_0252336__sdpair_003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_0252336,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_3397052__sdpair_003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_3397052,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_6598167__sdpair_000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_6598167,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_7488705__sdpair_001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_7488705,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_7488705__sdpair_004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_7488705,True,0,False,False,,False,False,False,False,False,missing_image_pair
IL_8173942__sdpair_003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_8173942,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_8907892__sdpair_001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_8907892,True,0,False,False,,False,False,False,False,False,missing_image_pair
IL_8907892__sdpair_002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_8907892,True,0,False,False,,False,False,False,False,False,missing_image_pair
IL_8907892__sdpair_003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAL_OTH,IL_8907892,True,0,False,False,,False,False,False,False,False,missing_image_pair
IL_0100733__sdpair_000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEN_OTH,IL_0100733,True,0,False,False,,False,False,False,True,False,missing_image_pair
IL_0100733__sdpair_001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEN_OTH,IL_0100733,True,0,False,False,,False,False,False,True,False,missing_image_pair
