lesion_id,mask_id,dermoscopic_path,mask_path,foreground_ratio,status,image_size,mask_size
IL_0000652,IL_0000652,/marimo/milk10k/MILK10k_Training_Input/IL_0000652/ISIC_4671410.jpg,/marimo/milk10k_train_masks/IL_0000652_dermoscopic_mask.png,0.2697925925925926,valid,600x450,600x450
IL_0003176,IL_0003176,/marimo/milk10k/MILK10k_Training_Input/IL_0003176/ISIC_5371928.jpg,/marimo/milk10k_train_masks/IL_0003176_dermoscopic_mask.png,0.013092592592592593,valid,600x450,600x450
IL_0004688,IL_0004688,/marimo/milk10k/MILK10k_Training_Input/IL_0004688/ISIC_3624913.jpg,/marimo/milk10k_train_masks/IL_0004688_dermoscopic_mask.png,0.21438148148148148,valid,600x450,600x450
IL_0005081,IL_0005081,/marimo/milk10k/MILK10k_Training_Input/IL_0005081/ISIC_5186409.jpg,/marimo/milk10k_train_masks/IL_0005081_dermoscopic_mask.png,0.08702962962962962,valid,600x450,600x450
IL_0006177,IL_0006177,/marimo/milk10k/MILK10k_Training_Input/IL_0006177/ISIC_1048297.jpg,/marimo/milk10k_train_masks/IL_0006177_dermoscopic_mask.png,0.15315555555555554,valid,600x450,600x450
IL_0006407,IL_0006407,/marimo/milk10k/MILK10k_Training_Input/IL_0006407/ISIC_5107821.jpg,/marimo/milk10k_train_masks/IL_0006407_dermoscopic_mask.png,0.30618518518518517,valid,600x450,600x450
IL_0008891,IL_0008891,/marimo/milk10k/MILK10k_Training_Input/IL_0008891/ISIC_5916190.jpg,/marimo/milk10k_train_masks/IL_0008891_dermoscopic_mask.png,0.4364148148148148,valid,600x450,600x450
IL_0008969,IL_0008969,/marimo/milk10k/MILK10k_Training_Input/IL_0008969/ISIC_9546309.jpg,/marimo/milk10k_train_masks/IL_0008969_dermoscopic_mask.png,0.41345185185185185,valid,600x450,600x450
IL_0009339,IL_0009339,/marimo/milk10k/MILK10k_Training_Input/IL_0009339/ISIC_8325963.jpg,/marimo/milk10k_train_masks/IL_0009339_dermoscopic_mask.png,0.5831148148148149,valid,600x450,600x450
IL_0011263,IL_0011263,/marimo/milk10k/MILK10k_Training_Input/IL_0011263/ISIC_3780652.jpg,/marimo/milk10k_train_masks/IL_0011263_dermoscopic_mask.png,0.44756296296296294,valid,600x450,600x450
IL_0012199,IL_0012199,/marimo/milk10k/MILK10k_Training_Input/IL_0012199/ISIC_7213515.jpg,/marimo/milk10k_train_masks/IL_0012199_dermoscopic_mask.png,0.40323703703703706,valid,600x450,600x450
IL_0014412,IL_0014412,/marimo/milk10k/MILK10k_Training_Input/IL_0014412/ISIC_9803465.jpg,/marimo/milk10k_train_masks/IL_0014412_dermoscopic_mask.png,0.41042962962962964,valid,600x450,600x450
IL_0017483,IL_0017483,/marimo/milk10k/MILK10k_Training_Input/IL_0017483/ISIC_1225678.jpg,/marimo/milk10k_train_masks/IL_0017483_dermoscopic_mask.png,0.19726296296296297,valid,600x450,600x450
IL_0019048,IL_0019048,/marimo/milk10k/MILK10k_Training_Input/IL_0019048/ISIC_6039074.jpg,/marimo/milk10k_train_masks/IL_0019048_dermoscopic_mask.png,0.2280148148148148,valid,600x450,600x450
IL_0019655,IL_0019655,/marimo/milk10k/MILK10k_Training_Input/IL_0019655/ISIC_2641217.jpg,/marimo/milk10k_train_masks/IL_0019655_dermoscopic_mask.png,0.34474814814814814,valid,600x450,600x450
IL_0020208,IL_0020208,/marimo/milk10k/MILK10k_Training_Input/IL_0020208/ISIC_8615296.jpg,/marimo/milk10k_train_masks/IL_0020208_dermoscopic_mask.png,0.2578962962962963,valid,600x450,600x450
IL_0024228,IL_0024228,/marimo/milk10k/MILK10k_Training_Input/IL_0024228/ISIC_8870441.jpg,/marimo/milk10k_train_masks/IL_0024228_dermoscopic_mask.png,0.2662,valid,600x450,600x450
IL_0026510,IL_0026510,/marimo/milk10k/MILK10k_Training_Input/IL_0026510/ISIC_2768555.jpg,/marimo/milk10k_train_masks/IL_0026510_dermoscopic_mask.png,0.1859,valid,600x450,600x450
IL_0029019,IL_0029019,/marimo/milk10k/MILK10k_Training_Input/IL_0029019/ISIC_5203599.jpg,/marimo/milk10k_train_masks/IL_0029019_dermoscopic_mask.png,0.5278481481481482,valid,600x450,600x450
IL_0030541,IL_0030541,/marimo/milk10k/MILK10k_Training_Input/IL_0030541/ISIC_1347581.jpg,/marimo/milk10k_train_masks/IL_0030541_dermoscopic_mask.png,0.23145925925925925,valid,600x450,600x450
IL_0032270,IL_0032270,/marimo/milk10k/MILK10k_Training_Input/IL_0032270/ISIC_6993481.jpg,/marimo/milk10k_train_masks/IL_0032270_dermoscopic_mask.png,0.4316037037037037,valid,600x450,600x450
IL_0033882,IL_0033882,/marimo/milk10k/MILK10k_Training_Input/IL_0033882/ISIC_3881896.jpg,/marimo/milk10k_train_masks/IL_0033882_dermoscopic_mask.png,0.4076962962962963,valid,600x450,600x450
IL_0039324,IL_0039324,/marimo/milk10k/MILK10k_Training_Input/IL_0039324/ISIC_1874410.jpg,/marimo/milk10k_train_masks/IL_0039324_dermoscopic_mask.png,0.16521111111111111,valid,600x450,600x450
IL_0041758,IL_0041758,/marimo/milk10k/MILK10k_Training_Input/IL_0041758/ISIC_3704603.jpg,/marimo/milk10k_train_masks/IL_0041758_dermoscopic_mask.png,0.48598148148148146,valid,600x450,600x450
IL_0044468,IL_0044468,/marimo/milk10k/MILK10k_Training_Input/IL_0044468/ISIC_6046943.jpg,/marimo/milk10k_train_masks/IL_0044468_dermoscopic_mask.png,0.08251481481481482,valid,600x450,600x450
IL_0047878,IL_0047878,/marimo/milk10k/MILK10k_Training_Input/IL_0047878/ISIC_0433706.jpg,/marimo/milk10k_train_masks/IL_0047878_dermoscopic_mask.png,0.45587037037037037,valid,600x450,600x450
IL_0053198,IL_0053198,/marimo/milk10k/MILK10k_Training_Input/IL_0053198/ISIC_8463837.jpg,/marimo/milk10k_train_masks/IL_0053198_dermoscopic_mask.png,0.1580851851851852,valid,600x450,600x450
IL_0061620,IL_0061620,/marimo/milk10k/MILK10k_Training_Input/IL_0061620/ISIC_4345756.jpg,/marimo/milk10k_train_masks/IL_0061620_dermoscopic_mask.png,0.3907148148148148,valid,600x450,600x450
IL_0063537,IL_0063537,/marimo/milk10k/MILK10k_Training_Input/IL_0063537/ISIC_8370666.jpg,/marimo/milk10k_train_masks/IL_0063537_dermoscopic_mask.png,0.15966666666666668,valid,600x450,600x450
IL_0064763,IL_0064763,/marimo/milk10k/MILK10k_Training_Input/IL_0064763/ISIC_1230865.jpg,/marimo/milk10k_train_masks/IL_0064763_dermoscopic_mask.png,0.2238111111111111,valid,600x450,600x450
